name,lat,lon,addr:city,tower:construction,tower:type,tourism,height,building,wikipedia,charge,start_date,access,surveillance,man_made,darkness_value,falchi_category
Unnamed POI,50.3504399,14.4731,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.74173784,Zelená (Silné znečištění)
Unnamed POI,48.9868086,13.7706062,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,public,surveillance,0.053588506,Tmavě modrá (Slabé znečištění)
Unnamed POI,49.8564648,14.3957804,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.28435567,Světle modrá (Střední znečištění)
Unnamed POI,50.5996779,15.2130242,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.18055962,Světle modrá (Střední znečištění)
Unnamed POI,49.2076739,16.595851,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,outdoor,surveillance,2.6035013,Oranžová (Extrémní znečištění)
Unnamed POI,49.2078628,16.5957364,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,outdoor,surveillance,2.6035013,Oranžová (Extrémní znečištění)
Unnamed POI,49.1469926,16.2633083,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.15687422,Modrá (Mírné znečištění)
Unnamed POI,49.1489854,16.2552675,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.15262157,Modrá (Mírné znečištění)
Unnamed POI,49.9453655,14.092837,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.32294068,Tmavě zelená (Znečištěná)
Unnamed POI,49.946766,14.0937553,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.37908977,Tmavě zelená (Znečištěná)
Unnamed POI,50.0833638,14.4099852,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,4.7292356,Oranžová (Extrémní znečištění)
Unnamed POI,50.0713587,14.502274,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,outdoor,surveillance,3.760149,Oranžová (Extrémní znečištění)
Unnamed POI,50.0799514,14.4018745,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,4.3506646,Oranžová (Extrémní znečištění)
Unnamed POI,50.0653614,14.4846965,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,3.8627474,Oranžová (Extrémní znečištění)
Unnamed POI,50.5793777,16.1328366,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,no,Unknown,Unknown,0.10870436,Modrá (Mírné znečištění)
Rozhledna Radošov,48.9250213,17.4281615,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.17665648,Světle modrá (Střední znečištění)
Rozhledna Veselov,50.1047391,14.057348,Unknown,Unknown,Unknown,information,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.3978612,Tmavě zelená (Znečištěná)
Unnamed POI,48.8565508,16.0383716,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.7735889,Zelená (Silné znečištění)
Unnamed POI,50.6635639,15.0775983,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.2278485,Světle modrá (Střední znečištění)
Rozhledna Pohoř - Olšová,49.6617145,17.8770209,Unknown,Unknown,Unknown,information,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.20905702,Světle modrá (Střední znečištění)
Unnamed POI,50.2316768,15.7463902,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,surveillance,0.39525214,Tmavě zelená (Znečištěná)
Unnamed POI,50.2318265,15.7464438,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,surveillance,0.39525214,Tmavě zelená (Znečištěná)
Unnamed POI,50.09076,14.4660006,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,checkpoint,surveillance,3.8529944,Oranžová (Extrémní znečištění)
Unnamed POI,50.0907504,14.4659946,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,checkpoint,surveillance,3.8529944,Oranžová (Extrémní znečištění)
Unnamed POI,49.9621077,14.3637617,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.8764744,Zelená (Silné znečištění)
Unnamed POI,49.9482982,14.3621523,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.71292615,Zelená (Silné znečištění)
Unnamed POI,50.0719144,14.3256779,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2.6352284,Oranžová (Extrémní znečištění)
Unnamed POI,49.1936224,16.5867384,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2.7170057,Oranžová (Extrémní znečištění)
