name,lat,lon,darkness_value,falchi_category,reachable_from_city,addr_city
Unnamed POI,50.5448311,15.3191919,0.1451118141412735,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.7631532,14.4246304,0.15283623337745667,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.4915141,15.1355133,0.15833048522472382,Modrá (Mírné znečištění),Liberec,Unknown
Vyhlídka Jaruš,50.9069692,15.2058328,0.14403675496578217,Modrá (Mírné znečištění),Liberec,Unknown
Vyhlídka Triangl,50.9114707,15.1986054,0.14790774881839752,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.5651225,14.8338522,0.1440182328224182,Modrá (Mírné znečištění),Liberec,Unknown
Skautská vyhlídka,50.4705837,15.2894101,0.14626269042491913,Modrá (Mírné znečištění),Liberec,Unknown
Králův stolec,50.5667399,14.6862368,0.1413446068763733,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.4672269,15.2961935,0.15158526599407196,Modrá (Mírné znečištění),Liberec,Unknown
Rufusova vyhlídka,50.5665826,14.684576,0.1413446068763733,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.5533865,14.6676949,0.15644118189811707,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.5992731,14.8866993,0.12982913851737976,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.6093722,14.8872256,0.12842483818531036,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.6093204,14.8868656,0.12842483818531036,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.6010305,14.8893117,0.12982913851737976,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.6014599,14.8895404,0.12982913851737976,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.6016451,14.8891662,0.12982913851737976,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.6031079,14.8842906,0.12982913851737976,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.6035854,14.8828429,0.12733961641788483,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.6039271,14.881572,0.12733961641788483,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.60301,14.8804202,0.12733961641788483,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.602475,14.8797543,0.12733961641788483,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.6011331,14.8808829,0.12733961641788483,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.6014421,14.8893975,0.12982913851737976,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.5988956,14.8862406,0.12982913851737976,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.6088551,14.8798791,0.12646906077861786,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.606998,14.8820436,0.12646906077861786,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.6073104,14.88407,0.12842483818531036,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.6082219,14.8839936,0.12842483818531036,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.6088807,14.8832063,0.12646906077861786,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.6086143,14.8855788,0.12842483818531036,Modrá (Mírné znečištění),Liberec,Unknown
