name,lat,lon,darkness_value,falchi_category
Clementsova vyhlídka,49.9777,12.7127,0.3224752,Tmavě zelená (Znečištěná)
Vyhlídka Hartwiga Rupperta,50.1007,12.7896,0.10761829,Modrá (Mírné znečištění)
Průrva Ploučnice,50.6872,14.7634,0.2498254,Světle modrá (Střední znečištění)
Rotštejn,50.5943,15.2242,0.17337242,Světle modrá (Střední znečištění)
Máj (448 m),49.8311,14.456,0.20259899,Světle modrá (Střední znečištění)
Výhled u posedu,50.7952,15.3325,0.12513243,Modrá (Mírné znečištění)
Beethovenova vyhlídka,49.861,17.8741,0.20880921,Světle modrá (Střední znečištění)
Leonardova vyhlídka,49.8612,17.8735,0.20880921,Světle modrá (Střední znečištění)
Vyhlídka Liška,50.7199,15.4489,0.12245186,Modrá (Mírné znečištění)
Vyhlídka na hrad Potštejn,50.0754,16.3014,0.13201751,Modrá (Mírné znečištění)
Skalní vyhlídka,50.1988,17.0989,0.08307781,Modrá (Mírné znečištění)
Barunčina vyhlídka,50.4477,15.9981,0.14344144,Modrá (Mírné znečištění)
Vinařická hora,50.1851,14.0864,0.47225553,Tmavě zelená (Znečištěná)
Slavíček,50.7299,14.6021,0.19997956,Světle modrá (Střední znečištění)
Výhled na Štěpánku,50.7619,15.3618,0.13869032,Modrá (Mírné znečištění)
Zelená budka,49.7333,17.307,0.3297084,Tmavě zelená (Znečištěná)
Velký medlánecký kopec,49.2344,16.5679,1.7759377,Žlutá (Velmi silné znečištění)
Výhled na Český Šumburk,50.7296,15.3395,0.19084264,Světle modrá (Střední znečištění)
Puklá skála,50.6946,13.5857,0.13223138,Modrá (Mírné znečištění)
Vlčina,49.5427,18.1951,0.39911819,Tmavě zelená (Znečištěná)
Koňská vyhlídka,50.1832,17.1015,0.073359065,Tmavě modrá (Slabé znečištění)
Rajmanova vyhlídka,50.3231,12.7343,0.20162395,Světle modrá (Střední znečištění)
Krásná stráň,49.9421,14.2704,0.50586283,Tmavě zelená (Znečištěná)
Vyhlídka u sv. Jana,49.5382,17.7455,0.37909865,Tmavě zelená (Znečištěná)
Vrše,49.1209,17.2624,0.12857793,Modrá (Mírné znečištění)
Hanesova vyhlídka,50.0091,16.698,0.089185506,Modrá (Mírné znečištění)
Mlynářův kámen,50.5961,14.0314,0.31542507,Světle modrá (Střední znečištění)
Vyhídka u Dubice,50.5933,14.0283,0.293442,Světle modrá (Střední znečištění)
Bartůňkova vyhlídka,49.7213,14.3672,0.107299455,Modrá (Mírné znečištění)
Vyhlídka Opata Zaorala,49.7398,14.4044,0.10691333,Modrá (Mírné znečištění)
Třeštibok,49.877,14.4521,0.30624977,Světle modrá (Střední znečištění)
Koukolova hora,49.9202,14.0233,0.29581177,Světle modrá (Střední znečištění)
Vysoký kámen,50.4055,16.9315,0.09298148,Modrá (Mírné znečištění)
Doskočilova vyhlídka,50.0035,16.2343,0.24667186,Světle modrá (Střední znečištění)
Čertovy kazatelny,50.3686,16.9927,0.096543595,Modrá (Mírné znečištění)
Dánské kameny,50.7487,14.9595,0.25716963,Světle modrá (Střední znečištění)
