name,lat,lon
Karlova vyhlídka,50.8874,14.4862
Rozhledna Kuníček,49.5642,14.3132
rozhledna U Jakuba,49.0876,15.271
Hubertova vyhlídka,50.6645,15.7515
Rozhledna Heřmanice,50.8974,15.017
pozorovatelna Pohraniční stráže,49.6735,12.5446
Zdice,49.9166,13.9862
Brot,50.9026,14.4049
Käs,50.9031,14.408
Rozhledna Velká Čantoryje,49.6787,18.8046
Kalvárie,50.0656,16.4394
Melicharka - Vyhlídka na Plzeň,49.6823,13.5155
Krkonošská vyhlídka,50.4665,15.6055
Rozhledna na vrchu Čáp,50.5746,16.1241
Byšičky,50.4192,15.6101
U třešně,50.4469,16.0376
Příkosická vyhlídka,49.6647,13.6442
hradiště Denemark,49.9291,15.2524
Vyhlídka na Šumavu,49.4353,13.6594
Vyhlídka na Pavlovsko,49.7236,13.6598
Vyhlídka na Žďár,49.7291,13.6891
Skalní vyhlídka z Vlče na Strašice,49.7227,13.7266
Frotzelova rozhledna,50.3844,13.7943
Krausova vyhlídka,50.6095,15.993
Rozhledna Svatá Markéta,49.3621,13.1563
Doerellova vyhlídka,50.5863,14.0253
Tanvaldský Špičák,50.7514,15.2824
Rudolfova vyhlídka,50.6276,15.0896
Vyhlídka kováře Popolce,50.7934,14.1827
Přípeřská vyhlídka,50.7904,14.2033
Dolní vyhlídka,50.7864,14.2095
Červená skála (Nad vlajkou),50.7829,14.2071
Hrobka,50.6487,15.1136
rozhledna Křížová hora,50.038,16.7573
Veřejová skála,49.6459,14.8687
Liptická vyhlídka,50.5976,13.7318
Wessenstein,50.6835,14.1208
Kozí vrch,50.6758,14.1368
Humboldtova vyhlídka,50.6718,14.2271
Nad Perníkovou věží,50.7667,14.6028
Opálená,49.5536,18.3121
Hradní vyhlídka,50.7336,14.592
Dědovy kameny,50.7252,14.5984
Karolínina vyhlídka,50.4967,15.7678
Horní vyhlídka,50.7871,14.2111
Rozhledna Janovský vrch,50.8609,14.2697
Bohušův vrch,49.8666,12.7528
Radost,49.8804,13.463
Vávrova vyhlídka,50.0424,14.4137
Hradní věž,49.8043,17.7732
Skalní ostroh,49.8034,17.7747
Kibička,50.5288,14.0236
rozhledna Lanšperk,49.995,16.4541
Vyhlídka,49.5776,17.6248
Obírka,49.5766,17.5867
Vyhlídka Kulivá hora,49.9644,14.2863
Soutok Moravy a Dyje,48.6172,16.9405
Mužský,50.5279,15.0461
Venušiny misky,50.3354,17.1471
Prdlák,49.9292,14.1376
Schlikova vyhlídka,50.4679,15.2904
Výhled na celou Ostravu,49.8433,18.3008
Paraplíčko,50.6361,15.2905
Vyhlídková věž Hošťálkovice,49.8444,18.2113
Jelení kameny,50.133,17.3064
Kamzičí skály,50.1482,17.235
Chlumská hora,49.9997,13.2321
Na Skalce,49.0251,17.8444
Vyhlídka Pěnčina,50.0399,13.9259
Lípa svobody,50.4902,15.3155
rozhledna Doubí,49.0391,17.3037
Hřebenka,50.749,14.5647
Rozhledna na Svatém kopečku,50.3841,13.2578
Vyhlídka Na Plazích,49.9674,13.706
Kunětická hora,50.0799,15.8132
Vyhlídková věž děkanského kostela Proměnění Páně,49.4146,14.6584
Nízký Jeseník,49.9725,17.4401
Orlík,49.5652,15.4104
Výhled na Janoslavice,49.8485,16.9822
Vyhlídka,50.609,14.2795
Sřed Moravy,49.3856,17.1229
vyhlídková věž Lomnice,49.0954,14.7146
Na Skále,49.5613,13.6674
rozhledna Cibulka,50.2369,12.5578
Baronova vyhlídka,50.6095,16.1132
vyhlídka u Heřmanova (608m n.m.),49.3765,16.1853
Markoušovická rozhledna,50.5755,16.0124
Rozhledna - Stráž Františka Josefa,50.6372,13.8338
Husníkova vyhlídka,50.6296,15.1985
Kde domov můj,50.6298,15.1986
Kinského,50.6305,15.1992
Vyhlídka Kde domov muj,50.6299,15.1986
Besedická,50.6274,15.2072
Kámen,49.8931,14.4067
Vyhlídka Na Bezděz,50.553,15.1205
Na Kose,50.7249,15.7748
Chvalovka,49.2235,16.4961
Pohanské kameny,50.9714,15.0211
Vyhlídkový altán,50.6849,15.4043
výhled na Českosaské Švýcarsko,50.7644,14.3755
vyhlídka,50.7553,14.3712
vyhlídka,50.7482,14.366
vyhlídka Liščí Hory,50.7323,14.357
vyhlídka,50.7247,14.3633
Rozhledna Špičák,49.173,13.2084
Masarykova vyhlídka,49.2168,15.8846
rozhledna Kostelní Hlavno,50.2616,14.7029
výhled na Sedlo,50.6897,14.2833
Vyhlídka Alexeje Navalného,50.1046,14.4147
Baba,50.1188,14.3907
Rozhledna na Medvědí hoře,50.0865,17.1394
vyhlídka nad soutěskou,50.8003,14.3626
Vyhlídka u laviček,50.7011,13.914
Seifertova vyhlídka,50.4704,15.2919
Bezručova vyhlídka,49.59,18.1589
vyhlídkový altán Mariina skála,49.6552,13.5653
Brousek,50.2273,17.0246
Zřícenina hradu Svrčov,49.5371,17.7476
Heckelovy skály,50.2534,17.1917
Čertova vyhlídka,49.7859,15.0272
vyhlídková věž,49.2602,15.2406
tvrziště Stráž,49.113,16.7185
rozhledna Hnědý vrch,50.6883,15.7071
Výhled Vysoký kámen,50.5353,16.1635
Vyhlídka Ovčín,50.5489,16.2975
Tell-Platte,50.8093,14.4259
Výhled z Faltova kopce,50.4567,16.0401
Vyhlídka Myslík,49.6173,18.2612
Libníkovická rozhledna,50.2488,15.9938
Rozhledna,50.1206,14.4167
Goethova vyhlídka,50.1854,12.7545
Loučka,49.6254,18.782
vyhlídka na Housle,50.1245,14.3562
Rozhledna Panorama,49.6491,18.2709
bývalá Švýcarská bouda,50.7786,14.654
rozhledna Olšová,49.6617,17.8773
Třesina,49.9645,14.1329
Lysý vrch,50.596,16.1527
Rozhledna Na Skalce,50.1443,17.4509
Hraběcí stolek,49.5494,16.3459
Rozhledna Bleiberg,50.3673,12.51
Rozhledna Šrotík (Maják),49.074,17.4268
Vyhlídka Oldřicha Fencla,48.8436,14.5572
Modré kameny,50.6456,15.781
Osserblick,49.2114,13.1135
Dreisesselblick,48.7719,13.845
"vyhlídka do dálky ""Koňský vrch""",48.776,13.8715
Hasičská vyhlídka,49.1715,14.2583
Výhled na Plešné jezero,48.7777,13.8584
výhled na Lužické hory,50.7637,14.3774
Ornitologická pozorovatelna,49.6531,17.2312
Zatopený lom Trojka,49.6201,15.4106
Zatopený lom Trojka,49.6203,15.4104
Holý vrch,49.6223,15.3978
val,50.7708,14.384
Belvedér,50.8495,14.2214
vyhlídka Devět mlýnů,48.8109,15.9809
Vyhlídkové místo u Honzíkova kříže,49.4608,16.8779
Chlumská hora,50.0055,13.2053
Rozhledna Líský,50.2454,13.9185
Kabačka,49.639,16.2272
Hadí hora,50.3846,12.9347
Bílý kámen,49.9298,14.6512
Rolandův kámen,50.0813,17.3069
Stará Vodárna,49.2287,13.5066
Smetanova vyhlídka,50.5314,15.3381
rozhledna Hněvín,50.5207,13.6332
Girova,49.5316,18.8001
Kočího kopec,49.6126,16.3157
Skála,49.6657,15.3912
Englišova vyhlídka,49.8899,18.0423
myslivecká vyhlídka,50.7765,14.3271
Vyhlídka u Sedlčan,49.634,14.4654
Čertice,48.9356,15.7237
U Spáleného mostu,50.0868,16.3125
výhled,50.7613,14.2929
"výhled 291,2",50.7621,14.3295
Švédská skála,49.7137,17.7544
Struhalův dub,49.9537,18.1246
velká vyhlídka na Lužické hory,50.7749,14.3108
výhled na Markvartice,50.7768,14.3139
výhled na Markvartice,50.772,14.3126
výhled,50.7613,14.29
ROZHLEDNA /lookout tower,50.0268,15.2014
Radniční věž,50.922,15.0785
výhled,50.7578,14.2924
rozhledna Čeřovka (Milohlídka),50.4448,15.3604
rozhl. Pastýřská stěna,50.7801,14.2044
Rozhledna Tábor,50.5092,15.3684
Lom Hády,49.2186,16.6738
Trávník,50.1517,15.6864
výhled na Lužické hory a Markvartickou kotlinu,50.7959,14.379
"výhled Jedlová, Sokol",50.8237,14.5028
