name,lat,lon,addr:city,tower:construction,tower:type,tourism,height,building,wikipedia,charge,start_date,access,surveillance,man_made
Vladimíra Menšíka na Hlíně,49.1173798,16.426069,Unknown,freestanding,observation,viewpoint,22,Unknown,cs:Rozhledna Vladimíra Menšíka,Unknown,Unknown,yes,Unknown,tower
Unnamed POI,48.6309659,14.2782599,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Unnamed POI,50.7801516,14.1856357,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Unnamed POI,49.5989615,18.1467137,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,surveillance
Unnamed POI,50.0817367,14.4251158,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,surveillance
Doubravská hora,50.639026,13.8597404,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Unnamed POI,50.6389788,13.8381548,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Unnamed POI,50.0851032,14.4600833,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Kamenný vrch,49.1828449,16.5559802,Unknown,Unknown,observation,viewpoint,6,Unknown,Unknown,Unknown,1928,yes,Unknown,tower
Unnamed POI,49.2557942,16.6223945,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,outdoor,surveillance
Unnamed POI,50.5897591,14.0227538,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Kamera 8,48.8106019,14.3180771,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,public,surveillance
Unnamed POI,49.9052596,14.4033486,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Unnamed POI,49.1817181,16.5789007,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Unnamed POI,49.2262515,16.5767078,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,outdoor,surveillance
Unnamed POI,49.2084274,16.5941395,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,outdoor,surveillance
Unnamed POI,50.2344153,14.2989893,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Unnamed POI,50.10025,14.5045715,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,outdoor,surveillance
Krkavec (rozhledna),49.8022925,13.341335,Unknown,Unknown,Unknown,information,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Czeskie Kamienie / Mužské kameny,50.7768791,15.5911024,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,pl:Czeskie Kamienie,Unknown,Unknown,Unknown,Unknown,Unknown
Krakonoš,50.7340366,15.6649466,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Minická skála,50.2185729,14.2877411,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Unnamed POI,50.2461729,14.3032647,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Unnamed POI,50.2469453,14.3030941,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Unnamed POI,49.1910671,16.6076078,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
