name,lat,lon
Unnamed POI,50.6144,16.1236
Unnamed POI,50.4465,14.5755
Pokličky,50.4552,14.5894
Unnamed POI,50.4577,14.5773
Výhled na přehradu Souš,50.7994,15.3246
Ostrý,50.5315,13.9515
Unnamed POI,49.7848,13.4357
Unnamed POI,49.7838,13.4351
Unnamed POI,50.0796,15.8136
Unnamed POI,50.0808,15.8145
Unnamed POI,49.1943,16.5973
Unnamed POI,50.1709,17.1165
Zelenohorská vyhlídka,49.0827,13.4361
Vyhlídka Havlova skála,49.9098,13.5526
Unnamed POI,50.2421,14.3061
Unnamed POI,49.5885,16.4316
Paličník,50.8715,15.2576
Soví vyhlídka,50.9342,14.4292
Holubník,50.8407,15.1835
Ptačí kupy,50.847,15.1737
řopík,50.2422,14.3056
Unnamed POI,50.2573,14.3003
rozhledna Osičina,50.2242,16.1273
Vladimíra Menšíka na Hlíně,49.1174,16.4261
Unnamed POI,48.631,14.2783
Unnamed POI,50.7802,14.1856
Doubravská hora,50.639,13.8597
Unnamed POI,50.639,13.8382
Unnamed POI,50.0851,14.4601
Kamenný vrch,49.1828,16.556
Unnamed POI,50.5898,14.0228
Unnamed POI,49.9053,14.4033
Unnamed POI,49.1817,16.5789
Unnamed POI,50.2344,14.299
Czeskie Kamienie / Mužské kameny,50.7769,15.5911
Krakonoš,50.734,15.6649
Minická skála,50.2186,14.2877
Unnamed POI,50.2462,14.3033
Unnamed POI,50.2469,14.3031
Unnamed POI,49.1911,16.6076
Unnamed POI,49.1909,16.6076
Louštín,50.1639,13.7937
Unnamed POI,50.0799,14.4011
Unnamed POI,50.0802,14.401
Unnamed POI,50.0856,14.3911
U Tety,49.7478,16.5794
rozhledna Háj u Aše,50.2335,12.2018
Unnamed POI,49.3863,16.5976
Devět skal,49.6707,16.0322
Skalní hrad,50.8722,15.0894
Kočičí kameny,50.8869,15.2311
Přerovská hůra,50.162,14.8398
Břístevská hůra,50.1376,14.8516
Unnamed POI,50.0627,14.3993
vyhlídka Na Horizontu,49.724,13.4381
Unnamed POI,50.0477,14.4039
Unnamed POI,50.0452,14.3916
Unnamed POI,50.0268,14.4631
Dolní můstek,49.3737,16.7292
rozhledna Podvrší u Veselice,49.3891,16.704
Unnamed POI,48.8587,16.0441
Unnamed POI,48.8589,16.0446
Unnamed POI,50.4906,13.1582
Unnamed POI,50.417,15.776
Rozhledna Stráž u Aše,50.2278,12.272
Unnamed POI,49.2238,16.6708
Unnamed POI,50.1035,14.3214
U Strejců,50.2634,12.3872
Babylon,49.4437,16.4639
Unnamed POI,49.3975,16.5999
Unnamed POI,49.9612,14.2033
Unnamed POI,50.7526,15.5478
Unnamed POI,49.2278,15.362
Unnamed POI,50.7873,14.0388
Unnamed POI,50.4403,14.5871
Unnamed POI,50.4293,14.583
Unnamed POI,50.7782,14.0685
Unnamed POI,50.7781,14.0757
Unnamed POI,50.7781,14.0768
Unnamed POI,50.7784,14.0636
Unnamed POI,50.7783,14.0544
Unnamed POI,50.7792,14.0494
Rozhledna Krátošice,49.3257,14.7842
Mariánská vyhlidka,50.548,15.1935
Vyhlídka nad Výrovkou,50.7179,15.6828
Sněžník,49.276,14.8952
Unnamed POI,50.4406,14.5913
Unnamed POI,50.1738,14.398
Unnamed POI,49.7573,13.5181
Unnamed POI,50.6128,13.521
rozhledna Modrá - Židoviny,49.1191,17.4033
Dračí vrch,50.8095,15.0778
Unnamed POI,50.638,13.864
Panská skála,49.8751,14.5647
Kamenná brána,50.5311,16.3107
Koruna,50.5219,16.3254
Unnamed POI,49.6278,14.2049
Unnamed POI,50.0786,12.3645
Rozhledna Jarník,49.308,14.1925
Unnamed POI,50.736,15.7388
Unnamed POI,49.9502,14.1066
Hlavatice,50.5696,15.1555
Travičná,48.8601,17.3656
Unnamed POI,50.8504,14.2219
Unnamed POI,49.8747,12.9926
Unnamed POI,49.8699,13.0013
Unnamed POI,49.8715,12.9861
Unnamed POI,49.8932,12.9354
Doubrava,49.1838,17.8729
Unnamed POI,50.5278,14.0185
Unnamed POI,49.8778,12.931
Unnamed POI,49.1115,16.4194
Unnamed POI,49.1043,16.4108
Ambrožova vyhlídka,50.7626,15.5455
Unnamed POI,50.6605,15.7476
Unnamed POI,50.6924,15.692
Pančavský vodopád,50.7612,15.5452
Unnamed POI,50.7709,15.5475
Unnamed POI,49.1116,13.3296
Milovské perníčky,49.6936,16.0879
Čtyři palice,49.6868,16.0932
Unnamed POI,50.0713,16.7917
Chalupská Slat,48.9982,13.6592
výhled z věže,49.0511,14.4416
Kamenická vyhlídka,50.8503,14.3444
Mariina skála,50.8604,14.405
Čerchov u Nižbora,50.0048,13.9779
Unnamed POI,49.9181,14.7985
Unnamed POI,48.9664,13.5927
Skalka,49.2476,16.5904
Unnamed POI,49.9144,14.7887
Málkova rozhledna,50.0466,14.1352
Unnamed POI,50.0754,17.3012
Kalvárie,50.5643,15.1645
Zdenčina skála,50.6066,15.1932
Frýdlantská skála,50.5611,16.2057
Vyhlídka Klubačice,49.5603,16.3142
Unnamed POI,50.8317,14.4556
Dolní Bílý ostroh,50.8741,14.2443
Unnamed POI,49.9223,14.7826
Unnamed POI,49.0526,16.8566
Unnamed POI,48.9831,13.7958
Unnamed POI,50.0315,14.4611
Šaunštejn,50.8687,14.3521
Vožický výhled,49.5323,14.8145
Unnamed POI,50.3559,16.9262
Holý vrch,49.7721,13.4458
Kamenná vrata,50.7372,14.977
Unnamed POI,50.7373,14.9766
Červený kámen,50.7312,14.9738
Unnamed POI,50.2302,14.2969
Unnamed POI,49.1807,16.3539
Unnamed POI,50.0231,14.4725
Unnamed POI,49.7714,13.4429
Unnamed POI,49.7763,13.4471
Na stráži,50.7338,14.5844
Otvovická skála,50.2156,14.279
Sylván,49.7697,13.3475
Rozhledna Bára,49.9163,15.7807
Unnamed POI,50.2273,14.3173
Hotel Myslivna,49.1887,16.5538
Babylon,49.3848,16.3598
Unnamed POI,50.2156,14.35
Žuráň,49.1798,16.7384
Unnamed POI,49.1963,16.5256
Unnamed POI,49.3948,16.3388
Unnamed POI,49.4067,16.384
Unnamed POI,50.8206,14.4624
Unnamed POI,50.2155,14.2953
Unnamed POI,49.1782,13.1968
Unnamed POI,50.2146,14.2895
Unnamed POI,48.6319,14.683
Unnamed POI,49.8766,14.2528
Unnamed POI,49.8771,14.2544
Unnamed POI,49.3427,16.411
Lipno Panorama,48.7164,14.0793
Růžový hřbety,50.8013,14.2445
Růžová vyhlídka,50.8063,14.2441
Unnamed POI,50.1129,14.4614
Unnamed POI,50.7721,14.6583
Unnamed POI,50.8081,14.7466
Unnamed POI,50.0797,14.4402
Unnamed POI,49.9758,14.3471
Válečná díra,50.8213,14.357
Unnamed POI,50.0238,16.7016
Unnamed POI,50.8609,15.1878
